,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
993,5.7,8,16.7,384
994,3.5,6,11.3,260
995,3.5,6,12.4,285
996,2.7,4,10.9,251
997,2.7,4,10.2,235
998,4.0,6,13.1,301
999,2.7,4,11.9,274
1000,2.7,4,11.8,271
1001,4.0,6,13.3,306
1002,4.0,6,14.0,322
1003,4.0,6,13.5,310
1004,4.6,8,14.3,329
1005,5.7,8,15.5,356
1006,4.6,8,15.1,347
1007,5.7,8,16.2,373
1008,2.7,4,10.0,230
1009,3.5,6,11.0,253
1010,2.7,4,10.2,235
1011,3.5,6,11.3,260
1012,1.5,4,7.3,168
1013,1.5,4,7.1,163
1014,1.8,4,8.5,196
1015,1.8,4,8.7,200
1016,2.0,4,9.1,209
1017,2.0,4,9.4,216
1018,2.5,5,9.8,225
1019,2.5,5,9.6,221
1020,1.8,4,8.7,200
1021,2.0,4,9.3,214
1022,2.0,4,9.4,216
1023,2.5,5,10.1,232
1024,2.0,4,7.3,197
1025,2.0,4,7.3,197
1026,2.0,4,9.7,223
1027,2.0,4,9.8,225
1028,3.6,6,12.3,283
1029,2.0,4,9.6,221
1030,2.5,5,9.5,218
1031,2.5,5,9.4,216
1032,2.0,4,7.2,194
1033,2.0,4,6.9,186
1034,1.8,4,8.2,189
1035,1.8,4,8.2,189
1036,2.0,4,9.4,216
1037,2.0,4,9.0,207
1038,2.0,4,9.0,207
1039,2.0,4,9.2,212
1040,2.0,4,6.9,186
1041,2.0,4,6.9,186
1042,1.4,4,5.4,124
1043,1.8,4,8.6,198
1044,1.8,4,8.6,198
1045,2.5,5,9.7,223
1046,2.5,5,9.8,225
1047,3.6,6,10.8,248
1048,2.0,4,7.1,192
1049,2.0,4,6.8,184
1050,3.6,6,12.1,278
1051,2.0,4,10.7,246
1052,2.0,4,11.6,267
1053,2.0,4,10.7,246
1054,3.6,6,12.2,281
1055,3.0,6,10.4,281
1056,2.5,5,9.7,223
1057,2.5,5,10.1,232
1058,3.0,6,11.5,264
1059,3.2,6,10.2,235
1060,3.0,6,11.5,264
1061,3.2,6,11.2,258
1062,3.0,6,11.8,271
1063,3.2,6,11.5,264
1064,3.0,6,11.8,271
1065,3.2,6,11.3,260
1066,3.2,6,12.8,294
